75,5/30/2019,2000,150,0, ,0, ,0, ,15, ,60.8, ,83, ,55.4, ,4.4, ,220, ,69.5,
75,5/30/2019,2100,150,0, ,0, ,0, ,15.1, ,60.5, ,84, ,55.6, ,3.6, ,194, ,69.5,
75,5/30/2019,2200,150,0, ,0, ,0, ,15.2, ,60.5, ,84, ,55.7, ,3.5, ,212, ,69.4,
75,5/30/2019,2300,150,0, ,0, ,0, ,15.2, ,60.5, ,84, ,55.7, ,3.3, ,173, ,69.3,
75,5/30/2019,2400,150,0, ,0, ,0, ,15.1, ,60.4, ,84, ,55.6, ,4.1, ,180, ,69.2,
75,5/31/2019,0100,151,0, ,0, ,0, ,14.8, ,59.5, ,85, ,55.1, ,4.1, ,152, ,69.1,
75,5/31/2019,0200,151,0, ,0, ,0, ,14.8, ,59.2, ,86, ,55.1, ,3.5, ,168, ,68.9,
75,5/31/2019,0300,151,0, ,0, ,0, ,14.4, ,58.6, ,86, ,54.3, ,2, ,109, ,68.8,
75,5/31/2019,0400,151,0, ,0, ,0, ,14.3, ,58.5, ,85, ,54, ,2.1, ,284, ,68.7,
75,5/31/2019,0500,151,0, ,0, ,2, ,14.4, ,58.7, ,85, ,54.2, ,2.4, ,308, ,68.6,
75,5/31/2019,0600,151,0, ,0, ,34, ,14.3, ,59, ,84, ,54.1, ,2.4, ,235, ,68.5,
75,5/31/2019,0700,151,0, ,0, ,116, ,14.2, ,59.2, ,83, ,53.9, ,2.9, ,255, ,68.3,
75,5/31/2019,0800,151,0, ,0, ,273, ,14.2, ,59.8, ,81, ,54, ,3.3, ,247, ,68.2,
75,5/31/2019,0900,151,0.01, ,0, ,654, ,14.2, ,61.3, ,76, ,53.9, ,3.9, ,241, ,68.1,
75,5/31/2019,1000,151,0.02, ,0, ,1468, ,14.3, ,63.8, ,71, ,54.1, ,3.9, ,273, ,68.1,
75,5/31/2019,1100,151,0.03, ,0, ,2022, ,14.6, ,66.8, ,65, ,54.7, ,4.5, ,314, ,68.1,
75,5/31/2019,1200,151,0.03, ,0, ,2104, ,15.3, ,69.8, ,61, ,55.9, ,5.3, ,281, ,68.2,
75,5/31/2019,1300,151,0.03, ,0, ,2071, ,15.6, ,71.1, ,60, ,56.5, ,5.5, ,269, ,68.5,
